Body Regions;A01
Chromosomes, Artificial, Mammalian;A11.284.187.520.190
Chromosomes, Artificial, Human;A11.284.187.520.190.117
Chromosomes, Human;A11.284.187.520.300
Chromosomes, Artificial, Human;A11.284.187.520.300.117
Chromosomes, Human, 1-3;A11.284.187.520.300.235
Chromosomes, Human, Pair 1;A11.284.187.520.300.235.240
Chromosomes, Human, Pair 2;A11.284.187.520.300.235.245
Chromosomes, Human, Pair 3;A11.284.187.520.300.235.250
Chromosomes, Human, 4-5;A11.284.187.520.300.280
Chromosomes, Human, Pair 4;A11.284.187.520.300.280.285
Chromosomes, Human, Pair 5;A11.284.187.520.300.280.290
Chromosomes, Human, 6-12 and X;A11.284.187.520.300.325
Chromosomes, Human, Pair 6;A11.284.187.520.300.325.330
Chromosomes, Human, Pair 7;A11.284.187.520.300.325.335
Chromosomes, Human, Pair 8;A11.284.187.520.300.325.340
Chromosomes, Human, Pair 9;A11.284.187.520.300.325.345
Philadelphia Chromosome;A11.284.187.520.300.325.345.500
Chromosomes, Human, Pair 10;A11.284.187.520.300.325.350
Chromosomes, Human, Pair 11;A11.284.187.520.300.325.355
Chromosomes, Human, Pair 12;A11.284.187.520.300.325.360
Chromosomes, Human, X;A11.284.187.520.300.325.680
Chromosomes, Human, 13-15;A11.284.187.520.300.370
Chromosomes, Human, Pair 13;A11.284.187.520.300.370.375
Chromosomes, Human, Pair 14;A11.284.187.520.300.370.380
Chromosomes, Human, Pair 15;A11.284.187.520.300.370.385
Chromosomes, Human, 16-18;A11.284.187.520.300.415
Chromosomes, Human, Pair 16;A11.284.187.520.300.415.420
Chromosomes, Human, Pair 17;A11.284.187.520.300.415.425
Chromosomes, Human, Pair 18;A11.284.187.520.300.415.430
Chromosomes, Human, 19-20;A11.284.187.520.300.460
Chromosomes, Human, Pair 19;A11.284.187.520.300.460.465
Chromosomes, Human, Pair 20;A11.284.187.520.300.460.470
Chromosomes, Human, 21-22 and Y;A11.284.187.520.300.505
Chromosomes, Human, Pair 21;A11.284.187.520.300.505.510
Chromosomes, Human, Pair 22;A11.284.187.520.300.505.515
Philadelphia Chromosome;A11.284.187.520.300.505.515.500
Chromosomes, Human, Y;A11.284.187.520.300.505.757
Chromosomes, Plant;A11.284.187.560
Isochromosomes;A11.284.187.570
Ring Chromosomes;A11.284.187.788
Sex Chromosomes;A11.284.187.865
Pseudoautosomal Regions;A11.284.187.865.400
Sex Chromatin;A11.284.187.865.800
X Chromosome;A11.284.187.865.982
Chromosomes, Human, X;A11.284.187.865.982.500
Y Chromosome;A11.284.187.865.983
Chromosomes, Human, Y;A11.284.187.865.983.500
Extracellular Space;A11.284.295
Extracellular Fluid;A11.284.295.260
Extracellular Matrix;A11.284.295.310
Glomerular Basement Membrane;A11.284.295.310.279
Microfibrils;A11.284.295.310.560
Zona Pellucida;A11.284.295.310.990
Extracellular Traps;A11.284.295.495
Extracellular Vesicles;A11.284.295.588
Cell-Derived Microparticles;A11.284.295.588.500
Exosomes;A11.284.295.588.750
Periplasm;A11.284.295.680
Inclusion Bodies;A11.284.420
Erythrocyte Inclusions;A11.284.420.204
Heinz Bodies;A11.284.420.204.335
Inclusion Bodies, Viral;A11.284.420.390
Intranuclear Inclusion Bodies;A11.284.420.400
Lewy Bodies;A11.284.420.460
Mallory Bodies;A11.284.420.500
Intracellular Space;A11.284.430
Cell Nucleus;A11.284.430.106
Cell Nucleus Structures;A11.284.430.106.279
Intranuclear Space;A11.284.430.106.279.345
Cell Nucleolus;A11.284.430.106.279.345.175
Chromosomes;A11.284.430.106.279.345.190
Chromosome Structures;A11.284.430.106.279.345.190.160
Centromere;A11.284.430.106.279.345.190.160.165
Kinetochores;A11.284.430.106.279.345.190.160.165.500
Chromatids;A11.284.430.106.279.345.190.160.175
Chromatin;A11.284.430.106.279.345.190.160.180
Euchromatin;A11.284.430.106.279.345.190.160.180.270
Chromosomal Puffs;A11.284.430.106.279.345.190.160.180.270.500
Heterochromatin;A11.284.430.106.279.345.190.160.180.383
Sex Chromatin;A11.284.430.106.279.345.190.160.180.383.800
Nucleosomes;A11.284.430.106.279.345.190.160.180.625
Nucleolus Organizer Region;A11.284.430.106.279.345.190.160.650
Synaptonemal Complex;A11.284.430.106.279.345.190.160.830
Telomere;A11.284.430.106.279.345.190.160.845
Polytene Chromosomes;A11.284.430.106.279.345.190.580
Chromosomal Puffs;A11.284.430.106.279.345.190.580.500
Coiled Bodies;A11.284.430.106.279.345.195
Gemini of Coiled Bodies;A11.284.430.106.279.345.447
Nuclear Matrix;A11.284.430.106.279.345.700
Nuclear Lamina;A11.284.430.106.279.345.700.700
Spliceosomes;A11.284.430.106.279.345.850
Nuclear Envelope;A11.284.430.106.279.692
Nuclear Lamina;A11.284.430.106.279.692.314
Nuclear Pore;A11.284.430.106.279.692.630
Macronucleus;A11.284.430.106.550
Micronuclei, Chromosome-Defective;A11.284.430.106.570
Micronucleus, Germline;A11.284.430.106.575
Cytoplasm;A11.284.430.214
Cytoplasmic Structures;A11.284.430.214.190
Cytoplasmic Granules;A11.284.430.214.190.500
Chromaffin Granules;A11.284.430.214.190.500.207
Melanosomes;A11.284.430.214.190.500.560
Microbodies;A11.284.430.214.190.500.585
Glyoxysomes;A11.284.430.214.190.500.585.250
Peroxisomes;A11.284.430.214.190.500.585.600
Nissl Bodies;A11.284.430.214.190.500.610
Weibel-Palade Bodies;A11.284.430.214.190.500.950
Cytoskeleton;A11.284.430.214.190.750
Actin Cytoskeleton;A11.284.430.214.190.750.050
Filamins;A11.284.430.214.190.750.050.414
Stress Fibers;A11.284.430.214.190.750.050.830
Intermediate Filaments;A11.284.430.214.190.750.410
Microtubule-Organizing Center;A11.284.430.214.190.750.585
Basal Bodies;A11.284.430.214.190.750.585.079
Centrosome;A11.284.430.214.190.750.585.160
Centrioles;A11.284.430.214.190.750.585.160.130
Spindle Pole Bodies;A11.284.430.214.190.750.585.580
Microtubules;A11.284.430.214.190.750.602
Axoneme;A11.284.430.214.190.750.602.309
Neuropil Threads;A11.284.430.214.190.750.602.620
Myofibrils;A11.284.430.214.190.750.620
Neurofibrils;A11.284.430.214.190.750.640
Neurofibrillary Tangles;A11.284.430.214.190.750.640.520
Spindle Apparatus;A11.284.430.214.190.750.820
Spindle Poles;A11.284.430.214.190.750.820.500
Centrosome;A11.284.430.214.190.750.820.500.500
Centrioles;A11.284.430.214.190.750.820.500.500.130
Spindle Pole Bodies;A11.284.430.214.190.750.820.500.750
Organelles;A11.284.430.214.190.875
Bacterial Chromatophores;A11.284.430.214.190.875.080
Cell Nucleus;A11.284.430.214.190.875.117
Macronucleus;A11.284.430.214.190.875.117.550
Micronuclei, Chromosome-Defective;A11.284.430.214.190.875.117.570
Micronucleus, Germline;A11.284.430.214.190.875.117.575
Cytoplasmic Vesicles;A11.284.430.214.190.875.190
Cytoplasmic Granules;A11.284.430.214.190.875.190.190
Chromaffin Granules;A11.284.430.214.190.875.190.190.207
Melanosomes;A11.284.430.214.190.875.190.190.560
Microbodies;A11.284.430.214.190.875.190.190.755
Glyoxysomes;A11.284.430.214.190.875.190.190.755.250
Peroxisomes;A11.284.430.214.190.875.190.190.755.600
Weibel-Palade Bodies;A11.284.430.214.190.875.190.190.950
Lysosomes;A11.284.430.214.190.875.190.550
Acrosome;A11.284.430.214.190.875.190.550.040
Phagosomes;A11.284.430.214.190.875.190.700
Autophagosomes;A11.284.430.214.190.875.190.700.500
Transport Vesicles;A11.284.430.214.190.875.190.880
Coated Vesicles;A11.284.430.214.190.875.190.880.180
Caveolae;A11.284.430.214.190.875.190.880.180.160
Clathrin-Coated Vesicles;A11.284.430.214.190.875.190.880.180.170
COP-Coated Vesicles;A11.284.430.214.190.875.190.880.180.180
Endosomes;A11.284.430.214.190.875.190.880.337
Multivesicular Bodies;A11.284.430.214.190.875.190.880.337.500
Exosomes;A11.284.430.214.190.875.190.880.495
Secretory Vesicles;A11.284.430.214.190.875.190.880.810
Synaptic Vesicles;A11.284.430.214.190.875.190.880.830
Vacuoles;A11.284.430.214.190.875.190.920
Endoplasmic Reticulum;A11.284.430.214.190.875.248
Endoplasmic Reticulum, Rough;A11.284.430.214.190.875.248.300
Nissl Bodies;A11.284.430.214.190.875.248.300.610
Endoplasmic Reticulum, Smooth;A11.284.430.214.190.875.248.310
Sarcoplasmic Reticulum;A11.284.430.214.190.875.248.310.800
Golgi Apparatus;A11.284.430.214.190.875.336
trans-Golgi Network;A11.284.430.214.190.875.336.850
Lipid Droplets;A11.284.430.214.190.875.393
Magnetosomes;A11.284.430.214.190.875.450
Mitochondria;A11.284.430.214.190.875.564
Mitochondria, Liver;A11.284.430.214.190.875.564.461
Mitochondria, Muscle;A11.284.430.214.190.875.564.627
Mitochondria, Heart;A11.284.430.214.190.875.564.627.603
Mitochondrial Ribosomes;A11.284.430.214.190.875.564.755
Submitochondrial Particles;A11.284.430.214.190.875.564.882
Plastids;A11.284.430.214.190.875.700
Apicoplasts;A11.284.430.214.190.875.700.069
Chloroplasts;A11.284.430.214.190.875.700.140
Thylakoids;A11.284.430.214.190.875.700.140.800
Ribosomes;A11.284.430.214.190.875.811
Mitochondrial Ribosomes;A11.284.430.214.190.875.811.370
Polyribosomes;A11.284.430.214.190.875.811.740
Endoplasmic Reticulum, Rough;A11.284.430.214.190.875.811.740.300
Nissl Bodies;A11.284.430.214.190.875.811.740.300.610
Ribosome Subunits;A11.284.430.214.190.875.811.870
Ribosomal Protein L10;A11.284.430.214.190.875.811.870.350
Ribosome Subunits, Large;A11.284.430.214.190.875.811.870.700
Ribosome Subunits, Large, Archaeal;A11.284.430.214.190.875.811.870.700.349
Ribosome Subunits, Large, Bacterial;A11.284.430.214.190.875.811.870.700.700
Ribosome Subunits, Large, Eukaryotic;A11.284.430.214.190.875.811.870.700.750
Ribosome Subunits, Small;A11.284.430.214.190.875.811.870.750
Ribosome Subunits, Small, Archaeal;A11.284.430.214.190.875.811.870.750.349
Ribosome Subunits, Small, Bacterial;A11.284.430.214.190.875.811.870.750.700
Ribosome Subunits, Small, Eukaryotic;A11.284.430.214.190.875.811.870.750.750
Sarcomeres;A11.284.430.214.190.875.820
Vault Ribonucleoprotein Particles;A11.284.430.214.190.875.930
Cytosol;A11.284.430.214.200
Intracellular Fluid;A11.284.430.429
Cytosol;A11.284.430.429.200
Subcellular Fractions;A11.284.835
Cell-Free System;A11.284.835.168
Intracellular Fluid;A11.284.835.450
Cytosol;A11.284.835.450.200
Intracellular Membranes;A11.284.835.514
Mitochondrial Membranes;A11.284.835.514.349
Nuclear Envelope;A11.284.835.514.700
Nuclear Lamina;A11.284.835.514.700.500
Microsomes;A11.284.835.540
Microsomes, Liver;A11.284.835.540.541
Mitochondria;A11.284.835.626
Mitochondria, Liver;A11.284.835.626.461
Mitochondria, Muscle;A11.284.835.626.627
Mitochondria, Heart;A11.284.835.626.627.603
Submitochondrial Particles;A11.284.835.626.882
Synaptosomes;A11.284.835.859
Trichomes;A11.284.917
Chromaffin Cells;A11.299
PC12 Cells;A11.299.500
Connective Tissue Cells;A11.329
Adipocytes;A11.329.114
Adipocytes, Beige;A11.329.114.125
Adipocytes, Brown;A11.329.114.249
Adipocytes, White;A11.329.114.500
Chondrocytes;A11.329.171
Fibroblasts;A11.329.228
3T3 Cells;A11.329.228.100
BALB 3T3 Cells;A11.329.228.100.080
NIH 3T3 Cells;A11.329.228.100.550
Swiss 3T3 Cells;A11.329.228.100.775
3T3-L1 Cells;A11.329.228.100.775.800
Cancer-Associated Fibroblasts;A11.329.228.105
Corneal Keratocytes;A11.329.228.109
COS Cells;A11.329.228.220
L Cells;A11.329.228.505
Mesangial Cells;A11.329.228.950
Myofibroblasts;A11.329.228.975
Macrophages;A11.329.372
Epithelioid Cells;A11.329.372.300
Foam Cells;A11.329.372.368
Giant Cells, Foreign-Body;A11.329.372.376
Giant Cells, Langhans;A11.329.372.380
Histiocytes;A11.329.372.385
Kupffer Cells;A11.329.372.588
Macrophages, Alveolar;A11.329.372.600
Macrophages, Peritoneal;A11.329.372.630
Osteoclasts;A11.329.372.700
Mast Cells;A11.329.427
Odontoblasts;A11.329.522
Osteoblasts;A11.329.629
Osteocytes;A11.329.629.500
Stromal Cells;A11.329.830
Mesenchymal Stem Cells;A11.329.830.500
Telocytes;A11.329.830.750
Telopodes;A11.329.830.750.500
Synoviocytes;A11.329.835
Tenocytes;A11.329.840
Theca Cells;A11.329.850
Endocrine Cells;A11.382
APUD Cells;A11.382.249
Corticotrophs;A11.382.500
Enteroendocrine Cells;A11.382.625
Enterochromaffin Cells;A11.382.625.031
Enterochromaffin-like Cells;A11.382.625.047
Gastrin-Secreting Cells;A11.382.625.055
Glucagon-Secreting Cells;A11.382.625.064
Insulin-Secreting Cells;A11.382.625.092
Pancreatic Polypeptide-Secreting Cells;A11.382.625.900
Somatostatin-Secreting Cells;A11.382.625.950
Gonadotrophs;A11.382.750
Granulosa Cells;A11.382.812
Cumulus Cells;A11.382.812.500
Lactotrophs;A11.382.875
Leydig Cells;A11.382.906
Luteal Cells;A11.382.921
Melanotrophs;A11.382.937
Neuroendocrine Cells;A11.382.944
Sertoli Cells;A11.382.952
Somatotrophs;A11.382.968
Thyrotrophs;A11.382.984
Trophoblasts;A11.382.992
Epidermal Cells;A11.409
Keratinocytes;A11.409.500
Melanocytes;A11.409.750
Melanosomes;A11.409.750.560
Merkel Cells;A11.409.875
Epithelial Cells;A11.436
A549 Cells;A11.436.054
Alveolar Epithelial Cells;A11.436.081
Ameloblasts;A11.436.107
Atypical Squamous Cells of the Cervix;A11.436.123
Caco-2 Cells;A11.436.140
Chief Cells, Gastric;A11.436.150
CHO Cells;A11.436.155
Chromatophores;A11.436.265
Melanophores;A11.436.265.531
Melanosomes;A11.436.265.531.560
Corticotrophs;A11.436.267
Dendritic Cells;A11.436.270
Langerhans Cells;A11.436.270.545
Endothelial Cells;A11.436.275
Endothelial Progenitor Cells;A11.436.275.182
Hemangioblasts;A11.436.275.365
Human Umbilical Vein Endothelial Cells;A11.436.275.682
Podosomes;A11.436.275.841
Enterocytes;A11.436.290
Enteroendocrine Cells;A11.436.294
Enterochromaffin Cells;A11.436.294.031
Enterochromaffin-like Cells;A11.436.294.047
Gastrin-Secreting Cells;A11.436.294.055
Glucagon-Secreting Cells;A11.436.294.064
Insulin-Secreting Cells;A11.436.294.092
Pancreatic Polypeptide-Secreting Cells;A11.436.294.900
Somatostatin-Secreting Cells;A11.436.294.950
Goblet Cells;A11.436.298
Gonadotrophs;A11.436.319
Granulosa Cells;A11.436.329
Cumulus Cells;A11.436.329.500
HEK293 Cells;A11.436.334
HeLa Cells;A11.436.340
KB Cells;A11.436.340.500
Hepatocytes;A11.436.348
Hep G2 Cells;A11.436.348.500
HT29 Cells;A11.436.365
Keratinocytes;A11.436.397
Labyrinth Supporting Cells;A11.436.495
Lactotrophs;A11.436.507
Leydig Cells;A11.436.513
LLC-PK1 Cells;A11.436.520
Luteal Cells;A11.436.566
Madin Darby Canine Kidney Cells;A11.436.589
Melanocytes;A11.436.613
Melanosomes;A11.436.613.560
Melanotrophs;A11.436.636
Merkel Cells;A11.436.660
Neuroepithelial Cells;A11.436.690
Neuroepithelial Bodies;A11.436.690.550
Paneth Cells;A11.436.700
Parietal Cells, Gastric;A11.436.708
PC-3 Cells;A11.436.714
Podocytes;A11.436.720
Sertoli Cells;A11.436.837
Somatotrophs;A11.436.896
Thyroid Epithelial Cells;A11.436.911
Thyrotrophs;A11.436.925
Vero Cells;A11.436.955
Erythroid Cells;A11.443
Erythrocytes;A11.443.240
Erythrocytes, Abnormal;A11.443.240.330
Acanthocytes;A11.443.240.330.100
Megaloblasts;A11.443.240.330.531
Spherocytes;A11.443.240.330.802
Erythroid Precursor Cells;A11.443.240.497
Erythroblasts;A11.443.240.497.200
Megaloblasts;A11.443.240.497.200.500
K562 Cells;A11.443.240.497.480
Reticulocytes;A11.443.240.665
Eukaryotic Cells;A11.450
Germ Cells;A11.497
Embryonic Germ Cells;A11.497.124
Germ Cells, Plant;A11.497.248
Ovum;A11.497.497
Oocytes;A11.497.497.600
Polar Bodies;A11.497.497.600.500
Oogonia;A11.497.497.650
Zona Pellucida;A11.497.497.900
Zygote;A11.497.497.950
Spermatozoa;A11.497.760
Sperm Head;A11.497.760.400
Acrosome;A11.497.760.400.100
Sperm Midpiece;A11.497.760.450
Sperm Tail;A11.497.760.500
Spermatids;A11.497.760.600
Spermatocytes;A11.497.760.700
Spermatogonia;A11.497.760.800
Giant Cells;A11.500
Giant Cells, Foreign-Body;A11.500.376
Giant Cells, Langhans;A11.500.380
Hepatic Stellate Cells;A11.561
Mesophyll Cells;A11.600
Muscle Cells;A11.620
Interstitial Cells of Cajal;A11.620.124
Muscle Fibers, Skeletal;A11.620.249
Muscle Fibers, Fast-Twitch;A11.620.249.400
Muscle Fibers, Slow-Twitch;A11.620.249.700
Myofibrils;A11.620.249.850
Sarcomeres;A11.620.249.850.700
Myocytes, Cardiac;A11.620.500
Myofibrils;A11.620.500.500
Sarcomeres;A11.620.500.500.700
Myocytes, Smooth Muscle;A11.620.520
Myofibroblasts;A11.620.520.500
Myeloid Cells;A11.627
Granulocytes;A11.627.340
Basophils;A11.627.340.120
Eosinophils;A11.627.340.345
Granulocyte Precursor Cells;A11.627.340.360
HL-60 Cells;A11.627.340.360.500
Neutrophils;A11.627.340.583
Macrophages;A11.627.482
Epithelioid Cells;A11.627.482.300
Foam Cells;A11.627.482.368
Giant Cells, Foreign-Body;A11.627.482.376
Giant Cells, Langhans;A11.627.482.380
Histiocytes;A11.627.482.385
Kupffer Cells;A11.627.482.588
Macrophages, Alveolar;A11.627.482.600
Macrophages, Peritoneal;A11.627.482.630
Monocyte-Macrophage Precursor Cells;A11.627.482.665
U937 Cells;A11.627.482.665.500
Osteoclasts;A11.627.482.700
Monocytes;A11.627.624
Monocyte-Macrophage Precursor Cells;A11.627.624.249
U937 Cells;A11.627.624.249.500
Monocytes, Activated Killer;A11.627.624.500
Myeloid Progenitor Cells;A11.627.635
Granulocyte-Macrophage Progenitor Cells;A11.627.635.675
Granulocyte Precursor Cells;A11.627.635.675.500
Monocyte-Macrophage Precursor Cells;A11.627.635.675.750
U937 Cells;A11.627.635.675.750.500
Myeloid-Derived Suppressor Cells;A11.627.817
Neoplastic Cells, Circulating;A11.642
Neuroglia;A11.650
Astrocytes;A11.650.200
Ependymoglial Cells;A11.650.300
Microglia;A11.650.400
Neuropil;A11.650.500
Neuropil Threads;A11.650.500.550
Oligodendrocyte Precursor Cells;A11.650.550
Oligodendroglia;A11.650.600
Myelin Sheath;A11.650.600.500
Satellite Cells, Perineuronal;A11.650.775
Schwann Cells;A11.650.800
Myelin Sheath;A11.650.800.500
Neurilemma;A11.650.800.500.550
Ranvier's Nodes;A11.650.800.500.700
Neurons;A11.671
Adrenergic Neurons;A11.671.050
Axons;A11.671.137
Axon Initial Segment;A11.671.137.170
Growth Cones;A11.671.137.340
Mossy Fibers, Hippocampal;A11.671.137.560
Presynaptic Terminals;A11.671.137.750
Cholinergic Neurons;A11.671.188
Cholinergic Fibers;A11.671.188.500
Autonomic Fibers, Preganglionic;A11.671.188.500.060
Parasympathetic Fibers, Postganglionic;A11.671.188.500.700
Dendrites;A11.671.240
Dendritic Spines;A11.671.240.169
Growth Cones;A11.671.240.340
Dopaminergic Neurons;A11.671.270
GABAergic Neurons;A11.671.285
Grid Cells;A11.671.322
Interneurons;A11.671.358
Amacrine Cells;A11.671.358.050
Cerebellar Golgi Cells;A11.671.358.131
Commissural Interneurons;A11.671.358.212
Renshaw Cells;A11.671.358.375
Retinal Bipolar Cells;A11.671.358.700
Mirror Neurons;A11.671.487
Nerve Fibers;A11.671.501
Adrenergic Fibers;A11.671.501.075
Sympathetic Fibers, Postganglionic;A11.671.501.075.800
Autonomic Fibers, Postganglionic;A11.671.501.100
Parasympathetic Fibers, Postganglionic;A11.671.501.100.700
Sympathetic Fibers, Postganglionic;A11.671.501.100.800
Axons;A11.671.501.145
Axon Initial Segment;A11.671.501.145.250
Neurites;A11.671.501.145.500
Presynaptic Terminals;A11.671.501.145.750
Mossy Fibers, Hippocampal;A11.671.501.145.750.500
Cholinergic Fibers;A11.671.501.234
Autonomic Fibers, Preganglionic;A11.671.501.234.060
Parasympathetic Fibers, Postganglionic;A11.671.501.234.700
Nerve Fibers, Myelinated;A11.671.501.512
Myelin Sheath;A11.671.501.512.560
Neurilemma;A11.671.501.512.560.550
Ranvier's Nodes;A11.671.501.512.560.700
Nerve Fibers, Unmyelinated;A11.671.501.756
Nerve Fibers, Myelinated;A11.671.514
Myelin Sheath;A11.671.514.553
Ranvier's Nodes;A11.671.514.553.640
Neurites;A11.671.543
Neurofibrils;A11.671.573
Neurofibrillary Tangles;A11.671.573.520
Neurons, Afferent;A11.671.650
Hair Cells, Auditory;A11.671.650.250
Hair Cells, Auditory, Inner;A11.671.650.250.250
Hair Cells, Auditory, Outer;A11.671.650.250.315
Hair Cells, Vestibular;A11.671.650.395
Posterior Horn Cells;A11.671.650.675
Substantia Gelatinosa;A11.671.650.675.800
Retinal Neurons;A11.671.650.850
Amacrine Cells;A11.671.650.850.500
Photoreceptor Cells;A11.671.650.850.625
Photoreceptor Cells, Invertebrate;A11.671.650.850.625.660
Photoreceptor Cells, Vertebrate;A11.671.650.850.625.670
Photoreceptor Connecting Cilium;A11.671.650.850.625.670.049
Retinal Cone Photoreceptor Cells;A11.671.650.850.625.670.100
Retinal Photoreceptor Cell Inner Segment;A11.671.650.850.625.670.237
Retinal Photoreceptor Cell Outer Segment;A11.671.650.850.625.670.375
Rod Cell Outer Segment;A11.671.650.850.625.670.375.500
Retinal Rod Photoreceptor Cells;A11.671.650.850.625.670.650
Rod Cell Outer Segment;A11.671.650.850.625.670.650.650
Retinal Bipolar Cells;A11.671.650.850.750
Retinal Ganglion Cells;A11.671.650.850.875
Retinal Horizontal Cells;A11.671.650.850.937
Sensory Receptor Cells;A11.671.650.915
Chemoreceptor Cells;A11.671.650.915.500
Neuroepithelial Cells;A11.671.650.915.500.530
Neuroepithelial Bodies;A11.671.650.915.500.530.550
Olfactory Receptor Neurons;A11.671.650.915.500.540
Paraganglia, Nonchromaffin;A11.671.650.915.500.600
Aortic Bodies;A11.671.650.915.500.600.050
Carotid Body;A11.671.650.915.500.600.150
Glomus Jugulare;A11.671.650.915.500.600.350
Glomus Tympanicum;A11.671.650.915.500.600.360
Taste Buds;A11.671.650.915.500.800
Mechanoreceptors;A11.671.650.915.750
Golgi-Mazzoni Corpuscles;A11.671.650.915.750.300
Merkel Cells;A11.671.650.915.750.425
Muscle Spindles;A11.671.650.915.750.500
Neuroepithelial Cells;A11.671.650.915.750.600
Hair Cells, Auditory;A11.671.650.915.750.600.350
Hair Cells, Auditory, Inner;A11.671.650.915.750.600.350.350
Hair Cells, Auditory, Outer;A11.671.650.915.750.600.350.365
Hair Cells, Vestibular;A11.671.650.915.750.600.675
Pacinian Corpuscles;A11.671.650.915.750.700
Pressoreceptors;A11.671.650.915.750.750
Pulmonary Stretch Receptors;A11.671.650.915.750.780
Nociceptors;A11.671.650.915.875
Photoreceptor Cells;A11.671.650.915.937
Photoreceptor Cells, Invertebrate;A11.671.650.915.937.650
Photoreceptor Cells, Vertebrate;A11.671.650.915.937.670
Photoreceptor Connecting Cilium;A11.671.650.915.937.670.049
Retinal Cone Photoreceptor Cells;A11.671.650.915.937.670.100
Retinal Photoreceptor Cell Inner Segment;A11.671.650.915.937.670.237
Retinal Photoreceptor Cell Outer Segment;A11.671.650.915.937.670.375
Rod Cell Outer Segment;A11.671.650.915.937.670.375.500
Retinal Rod Photoreceptor Cells;A11.671.650.915.937.670.650
Rod Cell Outer Segment;A11.671.650.915.937.670.650.650
Thermoreceptors;A11.671.650.915.968
Neurons, Efferent;A11.671.655
Motor Neurons;A11.671.655.500
Anterior Horn Cells;A11.671.655.500.050
Motor Neurons, Gamma;A11.671.655.500.525
Neuropil;A11.671.685
Neuropil Threads;A11.671.685.550
Nissl Bodies;A11.671.693
Nitrergic Neurons;A11.671.738
Purkinje Cells;A11.671.784
Pyramidal Cells;A11.671.790
Place Cells;A11.671.790.500
Serotonergic Neurons;A11.671.895
Suprachiasmatic Nucleus Neurons;A11.671.947
Oxyphil Cells;A11.690
Pancreatic Stellate Cells;A11.700
Pericytes;A11.710
Phagocytes;A11.733
Macrophages;A11.733.397
Epithelioid Cells;A11.733.397.300
Foam Cells;A11.733.397.368
Giant Cells, Foreign-Body;A11.733.397.376
Giant Cells, Langhans;A11.733.397.380
Histiocytes;A11.733.397.385
Kupffer Cells;A11.733.397.588
Macrophages, Alveolar;A11.733.397.600
Macrophages, Peritoneal;A11.733.397.630
RAW 264.7 Cells;A11.733.397.815
Monocytes;A11.733.547
Monocytes, Activated Killer;A11.733.547.500
Neutrophils;A11.733.689
Plant Cells;A11.750
Prokaryotic Cells;A11.760
Protoplasts;A11.789
Reed-Sternberg Cells;A11.828
Spheroplasts;A11.868
Spores;A11.870
Spores, Bacterial;A11.870.700
Spores, Fungal;A11.870.710
Spores, Protozoan;A11.870.740
Oocysts;A11.870.740.600
Sporozoites;A11.870.740.600.800
Schizonts;A11.870.740.800
Merozoites;A11.870.740.800.500
Trophozoites;A11.870.740.900
Stem Cells;A11.872
Adult Stem Cells;A11.872.040
Adult Germline Stem Cells;A11.872.040.250
Induced Pluripotent Stem Cells;A11.872.040.500
Fetal Stem Cells;A11.872.220
Hematopoietic Stem Cells;A11.872.378
Hemangioblasts;A11.872.378.270
Lymphoid Progenitor Cells;A11.872.378.294
Precursor Cells, B-Lymphoid;A11.872.378.294.500
Precursor Cells, T-Lymphoid;A11.872.378.294.750
Thymocytes;A11.872.378.294.750.800
Myeloid Progenitor Cells;A11.872.378.590
Granulocyte-Macrophage Progenitor Cells;A11.872.378.590.635
Granulocyte Precursor Cells;A11.872.378.590.635.500
Monocyte-Macrophage Precursor Cells;A11.872.378.590.635.875
Megakaryocyte-Erythroid Progenitor Cells;A11.872.378.590.817
Erythroid Precursor Cells;A11.872.378.590.817.250
Megakaryocyte Progenitor Cells;A11.872.378.590.817.625
Peripheral Blood Stem Cells;A11.872.378.795
Multipotent Stem Cells;A11.872.590
Mesenchymal Stem Cells;A11.872.590.500
Myoblasts;A11.872.620
Myoblasts, Cardiac;A11.872.620.470
Myoblasts, Skeletal;A11.872.620.500
Satellite Cells, Skeletal Muscle;A11.872.620.500.700
Myoblasts, Smooth Muscle;A11.872.620.510
Neoplastic Stem Cells;A11.872.650
Embryonal Carcinoma Stem Cells;A11.872.650.500
Neural Stem Cells;A11.872.653
Oligodendrocyte Precursor Cells;A11.872.653.500
Oogonial Stem Cells;A11.872.677
Pluripotent Stem Cells;A11.872.700
Embryonic Stem Cells;A11.872.700.250
Blastomeres;A11.872.700.250.130
Embryoid Bodies;A11.872.700.250.260
Embryonal Carcinoma Stem Cells;A11.872.700.250.500
Embryonic Germ Cells;A11.872.700.250.625
Human Embryonic Stem Cells;A11.872.700.250.750
Mouse Embryonic Stem Cells;A11.872.700.250.875
Induced Pluripotent Stem Cells;A11.872.700.500
Side-Population Cells;A11.872.785
Totipotent Stem Cells;A11.872.870
Thymocytes;A11.900
Fluids and Secretions;A12
Amniotic Fluid;A12.098
Bodily Secretions;A12.200
Bile;A12.200.087
Cerumen;A12.200.147
Colostrum;A12.200.194
Dander;A12.200.250
Gastric Juice;A12.200.307
Gastric Acid;A12.200.307.603
Intestinal Secretions;A12.200.390
Milk;A12.200.455
Milk, Human;A12.200.467
Mucus;A12.200.503
Cervix Mucus;A12.200.503.339
Pancreatic Juice;A12.200.567
Saliva;A12.200.666
Sebum;A12.200.702
Semen;A12.200.732
Smegma;A12.200.769
Sputum;A12.200.808
Sweat;A12.200.849
